frame,x,y,visible
1015,914,330,True
1016,1244,411,False
1017,1444,298,True
1018,1844,74,False
1019,1844,74,False
1020,1254,197,True
1021,1259,200,True
1022,1064,316,True
1023,1257,420,True
1024,1249,418,True
1025,1240,415,True
1026,1237,414,True
1027,1237,413,True
1028,1237,411,True
1029,1233,407,True
1030,1231,403,True
1031,986,537,True
1032,499,809,False
1033,499,809,False
1034,499,809,False
1035,499,809,False
1036,499,809,False
1037,499,809,False
1038,499,809,False
1039,499,809,False
1040,499,809,False
1041,499,809,False
1042,499,809,False
1043,660,461,True
1044,250,176,False
1045,250,176,False
1046,250,176,False
1047,667,467,True
1048,919,337,True
1049,1258,423,True
1050,1263,431,True
1051,1264,438,True
1052,1256,446,True
1053,984,569,True
1054,986,579,True
1055,991,584,True
1056,1261,471,True
1057,1255,471,True
1058,955,558,True
1059,653,643,True
1060,356,728,True
1061,352,725,True
1062,348,724,True
1063,649,636,True
1064,1255,460,False
1065,947,544,True
1066,1245,453,True
1067,1239,452,True
1068,1237,455,False
1069,950,574,True
1070,656,692,True
1071,362,808,True
1072,354,804,True
1073,349,804,True
1074,648,687,True
1075,633,654,True
1076,617,622,True
1077,293,709,True
1078,284,712,True
1079,275,714,True
1080,269,714,True
1081,262,715,True
1082,256,715,True
1083,292,733,True
1084,641,675,True
1085,994,619,True
1086,1306,537,True
1087,992,625,True
1088,681,730,True
1089,681,738,True
1090,683,759,True
1091,678,764,True
1092,363,874,True
1093,360,878,True
1094,358,882,False
1095,358,882,False
1096,358,882,False
1097,685,748,True
1098,1339,486,False
1099,1339,486,False
1100,612,517,True
1101,541,284,True
1102,213,392,True
1103,590,520,True
1104,968,649,True
1105,1273,573,True
1106,1271,580,True
1107,1267,588,True
1108,1264,595,True
1109,1262,601,True
1110,1256,611,True
1111,1251,620,True
1112,1249,625,True
1113,1252,625,True
1114,1257,624,True
1115,1259,625,True
1116,1261,627,True
1117,1264,629,True
1118,1269,631,True
1119,1275,633,True
1120,1280,636,True
1121,1308,669,True
1122,1335,705,True
1123,1361,743,True
1124,950,564,True
1125,127,193,False
1126,127,193,False
1127,127,193,False
1128,127,193,False
1129,536,382,True
1130,119,196,True
1131,555,360,True
1132,553,360,True
1133,111,199,False
1134,965,559,True
1135,980,577,True
1136,1437,760,True
1137,1483,747,True
1138,1485,752,True
1139,1485,754,False
1140,1485,754,False
1141,1485,754,False
1142,1023,572,True
1143,562,390,True
1144,101,209,True
1145,103,211,False
1146,103,211,False
1147,103,211,False
1148,103,211,False
1149,103,211,False
1150,103,211,False
1151,103,211,False
1152,388,172,True
1153,960,97,False
1154,960,97,False
1155,960,97,False
1156,431,339,True
1157,517,560,True
1158,359,874,False
1159,317,817,True
1160,360,867,False
1161,357,857,True
1162,364,849,True
1163,378,851,False
1164,318,797,True
1165,222,712,False
1166,710,787,True
1167,1099,770,True
1168,1543,800,True
1169,1553,802,True
1170,1559,805,True
1171,1562,805,True
1172,1562,804,False
1173,1562,804,False
1174,1562,804,False
1175,1562,804,False
1176,1562,804,False
1177,1562,804,False
1178,1562,804,False
1179,1562,804,False
1180,1562,804,False
1181,1562,804,False
1182,1562,804,False
1183,1562,804,False
1184,1562,804,False
1185,1562,804,False
1186,1562,804,False
1187,1562,804,False
1188,1562,804,False
1189,1562,804,False
1190,1562,804,False
1191,1562,804,False
1192,1562,804,False
1193,1562,804,False
1194,1177,813,True
1195,404,828,False
1196,404,828,False
1197,404,828,False
1198,404,828,False
1199,404,828,False
1200,404,828,False
1201,404,828,False
1202,786,832,True
1203,347,806,True
1204,296,773,True
1205,249,729,True
1206,252,731,True
1207,254,733,True
1208,257,734,False
1209,257,734,False
1210,257,734,False
1211,496,521,True
1212,729,309,True
1213,964,97,True
1214,966,97,True
1215,984,97,False
1216,984,97,False
1217,1257,89,True
1218,1827,73,False
1219,1827,73,False
1220,1827,73,False
1221,1282,83,True
1222,1035,80,False
1223,1035,80,False
1224,1035,80,False
1225,1055,314,True
1226,518,542,True
1227,240,768,True
1228,206,748,True
1229,200,739,True
1230,191,746,True
1231,179,763,True
1232,167,784,True
1233,162,792,True
1234,157,808,True
1235,178,831,True
1236,178,848,True
1237,171,852,True
1238,140,852,True
1239,134,856,True
1240,138,882,True
1241,143,904,True
1242,121,897,True
1243,120,880,True
1244,129,916,True
1245,165,983,True
1246,176,1044,True
1247,161,1041,True
1248,168,1043,True
1249,174,1047,True
1250,193,1053,True
1251,184,1010,True
1252,178,966,True
1253,175,929,True
1254,125,925,True
1255,81,912,True
1256,69,927,True
1257,553,906,True
1258,1032,888,True
1259,1153,573,True
1260,1154,562,True
1261,738,635,True
1262,643,974,True
1263,223,1053,True
1264,218,1051,True
1265,207,1049,True
1266,201,1048,True
1267,182,1045,True
1268,173,1055,True
1269,182,1056,True
1270,191,1057,True
1271,202,1050,True
1272,194,1051,True
1273,209,1054,True
1274,210,1022,True
1275,214,986,True
1276,202,958,True
1277,208,960,True
1278,202,963,True
1279,204,951,True
1280,185,903,True
1281,175,853,True
1282,193,822,True
1283,226,824,True
1284,267,836,True
1285,245,804,True
1286,221,775,True
1287,190,736,True
1288,196,724,True
1289,203,715,True
1290,210,711,True
1291,263,748,True
1292,270,738,True
1293,278,726,True
1294,624,672,True
1295,1010,667,True
1296,1386,668,True
1297,1389,685,True
1298,1377,701,True
1299,1376,715,True
1300,1368,723,True
1301,1378,735,True
1302,1057,751,True
1303,730,761,True
1304,404,764,True
1305,735,761,True
1306,1060,761,True
1307,1375,759,True
1308,1390,760,True
1309,1433,765,False
1310,1358,740,True
1311,1344,716,True
1312,1309,682,True
1313,1328,666,True
1314,1349,653,True
1315,1376,641,False
1316,1378,642,True
1317,1404,635,True
1318,1418,635,True
1319,1420,641,True
1320,1419,650,True
1321,1409,664,True
1322,1397,679,True
1323,1393,729,True
1324,1389,740,True
1325,1377,751,True
1326,1360,727,True
1327,1354,735,True
1328,1357,740,True
1329,1361,743,True
1330,1364,746,False
1331,1372,743,True
1332,1381,741,True
1333,1395,738,True
1334,1397,735,True
1335,1404,732,True
1336,1407,729,True
1337,1072,689,True
1338,1074,690,True
1339,1072,690,True
1340,1409,731,True
1341,1407,733,True
1342,1117,743,True
1343,1124,748,True
1344,1130,751,True
1345,1426,746,True
1346,1427,744,False
1347,1427,744,False
1348,1100,738,True
1349,1111,772,True
1350,1459,849,False
1351,1459,849,False
1352,1459,849,False
1353,1459,849,False
1354,1459,849,False
1355,1134,794,True
1356,1485,831,True
1357,1501,836,False
1358,1481,834,True
1359,1482,847,True
1360,1479,852,True
1361,1478,861,True
1362,1472,867,True
1363,1467,866,True
1364,1476,858,True
1365,1472,850,True
1366,1463,852,True
1367,1458,847,True
1368,1453,845,True
1369,1455,836,False
1370,1455,836,False
1371,1137,811,True
1372,1135,792,True
1373,814,766,True
1374,808,767,True
1375,488,757,True
1376,486,758,True
1377,485,761,True
1378,483,764,True
1379,772,789,True
1380,770,790,True
1381,1059,806,True
1382,766,783,True
1383,474,771,False
1384,474,771,False
1385,474,771,False
1386,474,771,False
1387,474,771,False
1388,474,771,False
1389,681,571,True
1390,369,541,True
1391,412,721,False
1392,380,517,True
1393,467,731,True
1394,807,733,True
1395,1117,742,True
1396,1436,727,True
1397,1125,745,True
1398,811,762,True
1399,390,565,True
1400,386,565,True
1401,677,562,True
1402,1098,758,True
1403,1415,740,True
1404,1439,724,True
1405,1437,722,True
1406,1435,719,True
1407,1432,715,True
1408,1428,712,True
1409,1425,710,False
1410,1425,710,False
1411,1425,710,False
